"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"19","Otherization","=~","Oth6","0.571","0.060","0.000","[0.453, 0.688]","0.571***","0.355","0.033","0.000","[0.289, 0.420]","0.355***","1.000","Mild","Otherization.BY.Oth6.Mild",".p19."
"20","Otherization","=~","Oth7","0.616","0.063","0.000","[0.493, 0.738]","0.616***","0.379","0.034","0.000","[0.313, 0.446]","0.379***","1.000","Mild","Otherization.BY.Oth7.Mild",".p20."
"21","Help1","~~","Help1","0.423","0.028","0.000","[0.368, 0.478]","0.423***","0.796","0.028","0.000","[0.741, 0.850]","0.796***","1.000","Mild","Variances.Help1.Mild",""
"22","Help2","~~","Help2","0.431","0.031","0.000","[0.370, 0.492]","0.431***","0.680","0.034","0.000","[0.614, 0.746]","0.680***","1.000","Mild","Variances.Help2.Mild",""
"23","Help3","~~","Help3","0.542","0.036","0.000","[0.471, 0.613]","0.542***","0.777","0.029","0.000","[0.721, 0.833]","0.777***","1.000","Mild","Variances.Help3.Mild",""
"24","Help4","~~","Help4","0.530","0.036","0.000","[0.460, 0.601]","0.530***","0.746","0.030","0.000","[0.687, 0.804]","0.746***","1.000","Mild","Variances.Help4.Mild",""
"25","Help5","~~","Help5","0.482","0.035","0.000","[0.413, 0.550]","0.482***","0.674","0.034","0.000","[0.608, 0.740]","0.674***","1.000","Mild","Variances.Help5.Mild",""
"26","Min1","~~","Min1","0.495","0.044","0.000","[0.409, 0.580]","0.495***","0.741","0.051","0.000","[0.640, 0.842]","0.741***","1.000","Mild","Variances.Min1.Mild",""
"27","Min2","~~","Min2","0.546","0.041","0.000","[0.465, 0.627]","0.546***","0.813","0.041","0.000","[0.733, 0.893]","0.813***","1.000","Mild","Variances.Min2.Mild",""
"28","Min3","~~","Min3","0.542","0.039","0.000","[0.466, 0.618]","0.542***","0.848","0.036","0.000","[0.778, 0.919]","0.848***","1.000","Mild","Variances.Min3.Mild",""
"29","Per1","~~","Per1","0.522","0.035","0.000","[0.452, 0.592]","0.522***","0.726","0.032","0.000","[0.663, 0.788]","0.726***","1.000","Mild","Variances.Per1.Mild",""
"30","Per2","~~","Per2","0.335","0.025","0.000","[0.286, 0.385]","0.335***","0.609","0.037","0.000","[0.538, 0.681]","0.609***","1.000","Mild","Variances.Per2.Mild",""
"31","Per3","~~","Per3","0.377","0.027","0.000","[0.324, 0.431]","0.377***","0.640","0.035","0.000","[0.571, 0.710]","0.640***","1.000","Mild","Variances.Per3.Mild",""
